consistency-validation-worker-1  | [2025-10-27 04:28:23,814: INFO/ForkPoolWorker-8] HTTP Request: POST https://krcentral.cognitiveservices.azure.com//openai/deployments/gpt-4o/chat/completions?api-version=2024-02-15-preview "HTTP/1.1 200 OK"
consistency-validation-worker-1  | [2025-10-27 04:28:25,547: INFO/ForkPoolWorker-8] HTTP Request: POST https://krcentral.cognitiveservices.azure.com//openai/deployments/gpt-4o/chat/completions?api-version=2024-02-15-preview "HTTP/1.1 200 OK"
consistency-validation-worker-1  | [2025-10-27 04:28:25,548: WARNING/ForkPoolWorker-8] Duplicate match attempt: 제11조 조본문 -> 계약의 해제 또는 해지 (already matched)
consistency-validation-worker-1  | [2025-10-27 04:28:27,052: INFO/ForkPoolWorker-8] HTTP Request: POST https://krcentral.cognitiveservices.azure.com//openai/deployments/gpt-4o/chat/completions?api-version=2024-02-15-preview "HTTP/1.1 200 OK"
consistency-validation-worker-1  | [2025-10-27 04:28:29,023: INFO/ForkPoolWorker-8] HTTP Request: POST https://krcentral.cognitiveservices.azure.com//openai/deployments/gpt-4o/chat/completions?api-version=2024-02-15-preview "HTTP/1.1 200 OK"
consistency-validation-worker-1  | [2025-10-27 04:28:30,396: INFO/ForkPoolWorker-8] HTTP Request: POST https://krcentral.cognitiveservices.azure.com//openai/deployments/gpt-4o/chat/completions?api-version=2024-02-15-preview "HTTP/1.1 200 OK"
consistency-validation-worker-1  | [2025-10-27 04:28:30,397: WARNING/ForkPoolWorker-8] No match found for user clause: 제11조 조본문
consistency-validation-worker-1  | [2025-10-27 04:28:30,397: INFO/ForkPoolWorker-8] Verifying user clause 66/90: 제11조 조본문
consistency-validation-worker-1  | [2025-10-27 04:28:32,975: INFO/ForkPoolWorker-8] HTTP Request: POST https://krcentral.cognitiveservices.azure.com//openai/deployments/gpt-4o/chat/completions?api-version=2024-02-15-preview "HTTP/1.1 200 OK"
consistency-validation-worker-1  | [2025-10-27 04:28:34,752: INFO/ForkPoolWorker-8] HTTP Request: POST https://krcentral.cognitiveservices.azure.com//openai/deployments/gpt-4o/chat/completions?api-version=2024-02-15-preview "HTTP/1.1 200 OK"
consistency-validation-worker-1  | [2025-10-27 04:28:36,174: INFO/ForkPoolWorker-8] HTTP Request: POST https://krcentral.cognitiveservices.azure.com//openai/deployments/gpt-4o/chat/completions?api-version=2024-02-15-preview "HTTP/1.1 200 OK"
consistency-validation-worker-1  | [2025-10-27 04:28:38,051: INFO/ForkPoolWorker-8] HTTP Request: POST https://krcentral.cognitiveservices.azure.com//openai/deployments/gpt-4o/chat/completions?api-version=2024-02-15-preview "HTTP/1.1 200 OK"
consistency-validation-worker-1  | [2025-10-27 04:28:39,517: INFO/ForkPoolWorker-8] HTTP Request: POST https://krcentral.cognitiveservices.azure.com//openai/deployments/gpt-4o/chat/completions?api-version=2024-02-15-preview "HTTP/1.1 200 OK"
consistency-validation-worker-1  | [2025-10-27 04:28:39,519: WARNING/ForkPoolWorker-8] No match found for user clause: 제11조 조본문
consistency-validation-worker-1  | [2025-10-27 04:28:39,519: INFO/ForkPoolWorker-8] Verifying user clause 67/90: 제11조 조본문
consistency-validation-worker-1  | [2025-10-27 04:28:41,211: INFO/ForkPoolWorker-8] HTTP Request: POST https://krcentral.cognitiveservices.azure.com//openai/deployments/gpt-4o/chat/completions?api-version=2024-02-15-preview "HTTP/1.1 200 OK"
